1,119206,None
10,125103,None
4294967295,125103,None
51,126264,None
64,127198,None
65,128112,None
65,129027,None
68,129908,None
67,130791,None
75,131589,None
76,132369,None
71,133210,None
58,134228,None
59,135230,None
68,136108,None
72,136934,None
67,137824,Neut
62,138778,Neut
58,139803,Neut
65,140721,Neut
66,141628,RelQ
63,142568,RelQ
63,143516,RelQ
65,144435,RelQ
64,145363,ComQ
60,146362,ComQ
57,147412,ComQ
57,148461,ComQ
60,149446,ComQ
62,150402,None
64,151337,None
69,152197,None
70,153048,None
64,153984,None
18,157260,None
